,codigo,fec_nac,sexo,edo_civ,depto,fec_ing,fec_baj,jorn,puesto,cp,label,antig
117,7994,1996-05-31,MASCULINO,SOLTERO,72,2019-05-24,,1,0001,56338,1,172
119,6461,1977-12-12,MASCULINO,SOLTERO,11,2015-09-23,,1,0176,56607,1,1511
120,6765,1986-11-05,MASCULINO,SOLTERO,87,2016-01-08,,1,0017A,56680,1,1404
125,7909,1983-10-11,FEMENINO,SOLTERO,51,2019-03-05,,1,0001,07200,1,252
127,5000,1975-01-17,FEMENINO,SOLTERO,60,2012-06-07,,1,0015A,55500,1,2714
129,8113,1992-02-29,MASCULINO,CASADO,81,2019-09-06,,1,0017,02459,1,67
131,5644,1968-10-23,MASCULINO,SOLTERO,11,2013-11-04,,1,0176,07560,1,2199
132,6638,1978-12-02,FEMENINO,SOLTERO,51,2018-05-09,,1,0002A,07249,1,552
133,8155,1984-09-16,FEMENINO,CASADO,05,2019-10-14,,1,0001,09100,1,29
137,7800,1977-02-24,FEMENINO,SOLTERO,87,2018-11-02,,1,0001,50200,1,375
139,8111,1977-11-30,FEMENINO,CASADO,25,2019-09-05,,1,0001,56527,1,68
140,6690,1975-03-28,FEMENINO,SOLTERO,80,2015-11-20,,1,0002A,07089,1,1453
143,7168,1979-05-30,FEMENINO,SOLTERO,51,2016-11-14,,1,0002A,07770,1,1093
148,8081,1972-11-24,FEMENINO,SOLTERO,45,2019-08-07,,1,0001,15320,1,97
149,7991,1973-04-13,MASCULINO,SOLTERO,37,2019-05-22,,1,0017,01600,1,174
152,8063,1998-06-05,MASCULINO,SOLTERO,81,2019-07-22,,1,0001,07080,1,113
157,4314,1990-09-28,FEMENINO,SOLTERO,05,2011-04-06,,1,0173,16600,1,3142
166,7848,1978-09-17,FEMENINO,SOLTERO,07,2019-01-10,,1,0001,56343,1,306
167,7632,1975-06-04,FEMENINO,CASADO,05,2018-03-21,,1,0002A,56335,1,601
170,7873,1984-07-14,MASCULINO,CASADO,76,2019-02-05,,1,0001,56570,1,280
172,8068,1987-07-30,MASCULINO,CASADO,83,2019-07-24,,1,0044A,54910,1,111
181,8086,1999-08-30,FEMENINO,SOLTERO,52,2019-08-14,,1,0001,13400,1,90
185,8145,1988-01-25,FEMENINO,SOLTERO,52,2019-10-02,,1,0001,56615,1,41
186,8106,1981-09-25,FEMENINO,SOLTERO,51,2019-08-29,,1,0001,02630,1,75
191,8129,1979-09-26,FEMENINO,CASADO,81,2019-09-23,,1,0001,02230,1,50
193,7633,1981-04-05,FEMENINO,SOLTERO,25,2018-03-23,,1,0002A,09140,1,599
200,7984,1991-09-30,FEMENINO,SOLTERO,81,2019-05-09,,1,0017,07510,1,187
201,7914,1997-06-12,MASCULINO,SOLTERO,52,2019-03-13,,1,0002B,09310,1,244
202,8141,1991-04-28,MASCULINO,SOLTERO,74,2019-09-30,,1,0001,16600,1,43
203,2897,1959-10-29,FEMENINO,CASADO,51,2017-01-13,,1,0002A,07550,1,1033
206,5630,1990-04-12,MASCULINO,CASADO,08,2019-07-03,,1,0001,57000,1,132
207,8139,1996-07-31,MASCULINO,SOLTERO,50,2019-09-30,,1,0001,07188,1,43
208,8007,1969-10-17,MASCULINO,SOLTERO,52,2019-06-05,,1,0016,13520,1,160
209,8048,1992-11-18,MASCULINO,SOLTERO,52,2019-07-01,,1,0185,09889,1,134
211,8138,1998-03-14,MASCULINO,SOLTERO,74,2019-09-30,,1,0001,01280,1,43
216,8052,1987-06-13,MASCULINO,SOLTERO,88,2019-07-08,,1,0022A,53100,1,127
217,8105,1988-08-18,MASCULINO,SOLTERO,81,2019-08-28,,1,0001,53320,1,76
219,7204,1977-08-17,MASCULINO,SOLTERO,81,2019-10-23,,1,0001,07910,1,20
221,7614,1983-09-14,MASCULINO,SOLTERO,03,2018-03-01,,1,0018,01630,1,621
222,3318,1963-01-08,MASCULINO,CASADO,81,2008-11-24,,1,0183,54935,1,4005
224,7804,1992-11-29,MASCULINO,CASADO,37,2018-11-13,,1,0186,54944,1,364
227,6083,1981-05-05,MASCULINO,SOLTERO,51,2015-01-13,,1,0003B,54938,1,1764
228,8118,1980-10-17,MASCULINO,CASADO,56,2019-09-09,,1,0001,11820,1,64
229,6766,1962-03-19,FEMENINO,SOLTERO,03,2016-01-11,,1,0014A,01220,1,1401
232,8084,1981-02-15,FEMENINO,SOLTERO,81,2019-08-08,,1,0001,54189,1,96
235,4137,1979-06-24,MASCULINO,SOLTERO,06,2010-11-16,,1,169,54180,1,3283
236,8170,1983-06-24,MASCULINO,SOLTERO,50,2019-10-24,,1,0001,02900,1,19
237,8009,1998-05-08,MASCULINO,SOLTERO,83,2019-06-06,,1,0001,54090,1,159
240,7542,1964-10-23,FEMENINO,SOLTERO,57,2017-11-08,,1,0002A,55400,1,734
243,8150,1971-05-02,FEMENINO,CASADO,79,2019-10-09,,1,0017,53697,1,34
246,3780,1963-06-19,FEMENINO,SOLTERO,05,2010-02-05,,1,0019A,55200,1,3567
250,6205,1995-10-02,MASCULINO,SOLTERO,87,2015-03-17,,1,0003B,50290,1,1701
251,5027,1970-01-09,MASCULINO,SOLTERO,82,2012-06-23,,1,0003A,55416,1,2698
255,7818,1975-05-19,FEMENINO,CASADO,83,2018-12-04,,1,0003A,54474,1,343
257,7221,1997-03-12,FEMENINO,SOLTERO,80,2019-05-22,,1,0001,52918,1,174
258,7815,1994-11-19,FEMENINO,SOLTERO,25,2018-11-28,,1,0001,56613,1,349
263,6839,1966-04-21,FEMENINO,SOLTERO,75,2016-03-07,,1,0002A,07089,1,1345
264,5646,1963-11-06,MASCULINO,SOLTERO,51,2013-11-04,,1,0002A,07969,1,2199
267,8164,1996-03-21,FEMENINO,SOLTERO,72,2019-10-21,,1,0001,56440,1,22
268,8011,1984-03-18,FEMENINO,CASADO,52,2019-06-07,,1,0017,56610,1,158
269,7708,1984-05-01,FEMENINO,SOLTERO,60,2018-07-04,,1,0002A,55065,1,496
273,7869,1968-01-06,FEMENINO,SOLTERO,87,2019-01-28,,1,0003B,50285,1,288
278,7973,1975-12-15,FEMENINO,SOLTERO,81,2019-04-30,,1,0001,07430,1,196
281,8012,1978-02-19,FEMENINO,SOLTERO,45,2019-06-07,,1,0001,57200,1,158
283,8166,1983-03-24,FEMENINO,CASADO,81,2019-10-21,,1,0001,07469,1,22
285,7530,1984-01-10,FEMENINO,SOLTERO,05,2017-10-18,,1,0002A,57710,1,755
286,8151,1997-02-28,MASCULINO,SOLTERO,50,2019-10-09,,1,0001,07090,1,34
287,8124,1988-03-19,MASCULINO,SOLTERO,50,2019-09-18,,1,0001,07820,1,55
288,8077,1994-10-30,MASCULINO,SOLTERO,05,2019-08-05,,1,0001,09860,1,99
289,8076,1994-12-16,MASCULINO,SOLTERO,81,2019-08-07,,1,0017,07550,1,97
292,6028,1965-05-08,MASCULINO,SOLTERO,11,2014-12-02,,1,0176,02530,1,1806
294,6565,1986-03-14,MASCULINO,SOLTERO,52,2015-09-15,,1,0002A,13300,1,1519
297,3676,1961-07-17,FEMENINO,DIVORCIADO,80,2009-10-13,,1,0017A,52928,1,3682
299,8165,1996-02-20,MASCULINO,SOLTERO,81,2019-10-22,,1,0001,55390,1,21
300,3221,1965-10-12,MASCULINO,CASADO,11,2018-06-18,,1,0177,09310,1,512
302,7779,1969-01-16,FEMENINO,CASADO,52,2018-10-05,,1,0014,09290,1,403
304,7942,1966-01-16,FEMENINO,CASADO,88,2019-04-04,,1,0001,53580,1,222
310,7845,1998-10-31,MASCULINO,SOLTERO,54,2019-01-09,,1,0003A,54963,1,307
314,7996,1974-03-06,FEMENINO,SOLTERO,50,2019-05-27,,1,0001,02600,1,169
315,2522,1952-05-19,FEMENINO,SOLTERO,45,2013-03-21,,1,0002A,56335,1,2427
319,8125,1987-05-12,FEMENINO,CASADO,59,2019-09-19,,1,0001,56208,1,54
322,8154,1993-10-02,FEMENINO,SOLTERO,52,2019-10-16,,1,0001,09700,1,27
323,7080,1970-08-02,FEMENINO,SOLTERO,87,2016-09-05,,1,0018A,50285,1,1163
324,5965,1967-03-13,FEMENINO,SOLTERO,72,2015-06-25,,1,0015A,56560,1,1601
325,5447,1965-06-19,FEMENINO,SOLTERO,83,2013-05-20,,1,0003A,55280,1,2367
330,6685,1965-06-15,FEMENINO,SOLTERO,73,2015-11-17,,1,0002A,56530,1,1456
333,8056,1979-03-20,FEMENINO,CASADO,56,2019-07-15,,1,0017,51726,1,120
334,5549,1963-07-17,FEMENINO,SOLTERO,45,2013-08-12,,1,0002A,15530,1,2283
335,8117,1976-07-16,FEMENINO,CASADO,37,2019-09-09,,1,0001,02230,1,64
339,0854,1964-11-16,FEMENINO,SOLTERO,05,2012-02-03,,1,0020A,09700,1,2839
340,7295,1974-06-21,FEMENINO,CASADO,57,2017-02-27,,1,0002A,55507,1,988
344,8133,1998-08-05,FEMENINO,SOLTERO,52,2019-09-25,,1,0001,09760,1,48
346,4807,1956-09-21,FEMENINO,CASADO,06,2012-03-01,,1,0028,54744,1,2812
350,8160,1994-12-10,FEMENINO,SOLTERO,73,2019-10-18,,1,0001,56535,1,25
354,8153,1987-09-06,FEMENINO,SOLTERO,54,2019-10-11,,1,0001,54964,1,32
355,3169,1956-06-30,FEMENINO,SOLTERO,76,2008-08-29,,1,0002A,56563,1,4092
358,4514,1961-09-02,FEMENINO,CASADO,54,2011-09-12,,1,0017A,55717,1,2983
360,7814,1977-12-11,FEMENINO,SOLTERO,81,2018-11-26,,1,0003A,52949,1,351
362,7754,1966-06-09,FEMENINO,VIUDO,61,2019-01-22,,1,0002B,52918,1,294
364,6014,1968-07-28,FEMENINO,SOLTERO,75,2014-11-18,,1,0017A,09300,1,1820
367,8159,1981-08-11,FEMENINO,CASADO,56,2019-10-16,,1,0001,01139,1,27
373,3827,1980-08-17,MASCULINO,SOLTERO,05,2010-04-06,,1,0003B,08400,1,3507
375,8103,1980-07-20,FEMENINO,SOLTERO,79,2019-08-26,,1,0001,53688,1,78
376,8054,2019-05-16,MASCULINO,SOLTERO,81,2019-07-15,,1,0001,02125,1,120
378,5412,1975-08-15,FEMENINO,SOLTERO,03,2014-12-08,,1,0002A,01800,1,1800
382,7395,1994-08-09,FEMENINO,SOLTERO,87,2017-06-12,,1,0003B,50039,1,883
383,0214,1974-07-21,FEMENINO,SOLTERO,06,2017-01-02,,1,0024,57750,1,1044
384,7849,1971-07-22,FEMENINO,SOLTERO,74,2019-01-10,,1,0001,16797,1,306
386,5232,1964-02-24,FEMENINO,SOLTERO,50,2016-01-12,,1,0019A,07100,1,1400
387,8019,1998-06-09,FEMENINO,SOLTERO,04,2019-06-13,,1,0001,54945,1,152
388,4958,1965-06-12,FEMENINO,SOLTERO,57,2012-05-24,,1,0002A,55520,1,2728
390,3979,1976-05-14,MASCULINO,CASADO,06,2010-07-26,,1,0027,09760,1,3396
393,0442,1967-06-21,MASCULINO,SOLTERO,05,1999-01-14,,1,0174,54170,1,7607
396,8134,2001-04-16,FEMENINO,SOLTERO,52,2019-09-25,,1,0001,09910,1,48
398,7330,1969-09-29,MASCULINO,SOLTERO,05,2017-03-28,,1,0015,56383,1,959
400,8101,1966-06-03,FEMENINO,SOLTERO,05,2019-08-26,,1,0001,09220,1,78
409,7846,1992-06-08,FEMENINO,SOLTERO,54,2019-01-09,,1,0003A,54803,1,307
411,8091,1974-10-05,FEMENINO,CASADO,04,2019-08-15,,1,0001,54475,1,89
412,8167,1989-06-24,FEMENINO,SOLTERO,51,2019-10-23,,1,0001,07510,1,20
423,8131,1998-08-01,MASCULINO,CASADO,50,2019-09-24,,1,0001,07310,1,49
425,8157,1973-06-28,FEMENINO,SOLTERO,05,2019-10-14,,1,0001,15520,1,29
426,7298,1988-06-14,FEMENINO,SOLTERO,74,2017-03-06,,1,0184,13310,1,981
429,7963,1975-09-03,FEMENINO,SOLTERO,73,2019-04-22,,1,0001,56589,1,204
430,5396,1971-06-05,FEMENINO,SOLTERO,76,2014-07-03,,1,0002A,56516,1,1958
435,7989,1987-06-05,MASCULINO,SOLTERO,81,2019-05-17,,1,0001,02125,1,179
441,6203,1967-01-24,FEMENINO,SOLTERO,87,2015-12-14,,1,0003B,50010,1,1429
445,7226,1965-03-15,FEMENINO,SOLTERO,82,2017-01-13,,1,0003A,54960,1,1033
450,7885,1989-10-24,MASCULINO,SOLTERO,76,2019-02-12,,1,0001,56607,1,273
451,3326,1968-10-24,FEMENINO,CASADO,57,2017-06-21,,1,0019A,07420,1,874
453,0449,1970-05-31,MASCULINO,SOLTERO,05,1989-12-13,,1,0003A,06820,1,10926
455,6934,1960-11-21,FEMENINO,SOLTERO,06,2016-05-02,,1,470,07500,1,1289
457,7137,1976-02-12,MASCULINO,SOLTERO,50,2016-10-19,,1,0018A,54193,1,1119
461,6682,1996-12-07,MASCULINO,SOLTERO,06,2017-02-13,,1,0001,15730,1,1002
463,1269,1967-10-13,MASCULINO,SOLTERO,03,2000-05-18,,1,0002A,09100,1,7117
466,7890,1959-09-10,FEMENINO,SOLTERO,50,2019-02-14,,1,0001,02630,1,271
467,8031,1980-07-04,FEMENINO,SOLTERO,76,2019-06-26,,1,0001,56625,1,139
471,1419,1980-10-31,FEMENINO,SOLTERO,51,2015-07-28,,1,0020A,02600,1,1568
473,8067,1999-10-23,MASCULINO,SOLTERO,51,2019-07-22,,1,0001,07070,1,113
477,8169,1983-03-07,FEMENINO,SOLTERO,79,2019-10-25,,1,0001,53770,1,18
483,3525,1965-05-04,FEMENINO,SOLTERO,68,2017-08-14,,1,0014A,08770,1,820
485,8036,1979-02-10,FEMENINO,SOLTERO,52,2019-06-27,,1,0001,56614,1,138
488,6885,1969-03-05,FEMENINO,SOLTERO,52,2016-04-01,,1,0002A,09760,1,1320
491,7907,1991-08-06,FEMENINO,SOLTERO,76,2019-03-04,,1,0185,56566,1,253
493,8146,1967-02-26,FEMENINO,SOLTERO,76,2019-10-03,,1,0001,56680,1,40
494,4775,1966-02-08,FEMENINO,SOLTERO,74,2012-02-21,,1,0002A,08730,1,2821
495,8069,1991-03-31,FEMENINO,SOLTERO,45,2019-07-26,,1,0044A,55280,1,109
498,4832,1975-12-04,FEMENINO,SOLTERO,59,2014-10-06,,1,0002A,56270,1,1863
501,3321,1965-02-12,MASCULINO,CASADO,04,2010-09-07,,1,0103,54942,1,3353
504,0624,1966-09-09,FEMENINO,SOLTERO,83,1996-01-25,,1,0035,11430,1,8692
506,4385,1973-01-31,FEMENINO,SOLTERO,81,2011-06-02,,1,0018A,53716,1,3085
507,8135,1963-04-10,FEMENINO,VIUDO,83,2019-09-25,,1,0001,54948,1,48
513,0366,1969-03-21,FEMENINO,CASADO,06,2011-10-17,,1,0025,10580,1,2948
517,6206,1972-02-09,FEMENINO,SOLTERO,73,2015-03-18,,1,0015A,56600,1,1700
521,7618,1992-12-25,FEMENINO,SOLTERO,05,2018-03-06,,1,0002A,56334,1,616
1,7840,1985-12-30,FEMENINO,SOLTERO,87,2018-12-27,2019-02-04,1,0185,50290,0,39
2,7879,1993-12-28,MASCULINO,SOLTERO,72,2019-02-11,2019-07-22,1,0001,09630,0,161
3,7505,1989-09-30,MASCULINO,SOLTERO,82,2017-09-19,2019-02-21,1,0003A,54948,0,520
6,7331,1977-04-02,FEMENINO,CASADO,45,2018-09-04,2019-08-08,1,0001,08100,0,338
9,7774,1995-12-07,FEMENINO,CASADO,87,2018-09-27,2019-01-14,1,0001,50200,0,109
13,7851,1980-02-02,FEMENINO,SOLTERO,51,2019-01-11,2019-03-08,1,0001,07220,0,56
14,7867,1981-07-10,MASCULINO,SOLTERO,87,2019-01-28,2019-01-30,1,0003B,50900,0,2
15,8050,1983-09-27,MASCULINO,SOLTERO,50,2019-07-08,2019-08-05,1,0017,07530,0,28
17,8051,1998-03-11,MASCULINO,SOLTERO,88,2019-07-10,2019-07-22,1,0001,53760,0,12
18,8094,1997-01-04,MASCULINO,SOLTERO,50,2019-08-16,2019-08-26,1,0017,55028,0,10
19,3652,1963-01-23,MASCULINO,CASADO,81,2016-09-12,2019-05-27,1,516,55390,0,987
21,4044,1967-10-28,FEMENINO,CASADO,50,2018-09-10,2019-03-11,1,0018,55139,0,182
22,7593,1988-10-07,FEMENINO,SOLTERO,45,2018-02-02,2019-04-02,1,0002A,07990,0,424
23,8000,1970-09-08,FEMENINO,CASADO,37,2019-05-28,2019-06-10,1,0001,02400,0,13
26,7959,1977-08-30,FEMENINO,SOLTERO,04,2019-04-16,2019-08-19,1,0001,54130,0,125
27,8013,1991-02-27,FEMENINO,SOLTERO,52,2019-06-10,2019-06-17,1,0001,09960,0,7
28,8016,1997-03-11,FEMENINO,SOLTERO,25,2019-06-12,2019-07-29,1,0001,56585,0,47
30,8085,1992-11-11,FEMENINO,SOLTERO,52,2019-08-12,2019-09-16,1,0001,13220,0,35
34,8040,1994-07-07,FEMENINO,SOLTERO,25,2019-07-02,2019-07-16,1,0001,57940,0,14
35,7903,1985-12-18,FEMENINO,SOLTERO,85,2019-03-04,2019-03-18,1,0001,50010,0,14
36,8021,1978-05-29,FEMENINO,CASADO,68,2019-06-17,2019-07-15,1,0001,08040,0,28
37,8027,1991-11-17,FEMENINO,SOLTERO,50,2019-06-24,2019-10-08,1,0001,02750,0,106
39,7931,1978-07-31,FEMENINO,SOLTERO,83,2019-03-26,2019-04-04,1,0001,52918,0,9
40,7865,1981-05-09,FEMENINO,CASADO,75,2019-01-24,2019-04-24,1,0001,04600,0,90
42,7986,1988-02-23,FEMENINO,SOLTERO,50,2019-05-14,2019-08-19,1,0001,02310,0,97
43,7998,1988-01-20,FEMENINO,SOLTERO,52,2019-05-28,2019-06-05,1,0001,09690,0,8
44,7916,1989-05-11,FEMENINO,SOLTERO,85,2019-03-11,2019-03-18,1,0001,50010,0,7
48,8074,1980-01-30,MASCULINO,SOLTERO,50,2019-07-31,2019-08-26,1,0017,06430,0,26
49,8022,1982-09-08,FEMENINO,SOLTERO,56,2019-06-18,2019-07-08,1,0001,01140,0,20
50,7866,1980-05-01,FEMENINO,SOLTERO,45,2019-01-25,2019-01-30,1,0001,08500,0,5
52,8073,1996-10-05,FEMENINO,CASADO,57,2019-08-01,2019-09-30,1,0001,55023,0,60
53,8142,1979-01-05,MASCULINO,CASADO,54,2019-10-01,2019-10-09,1,0001,54803,0,8
54,7312,1972-06-28,FEMENINO,CASADO,87,2017-03-09,2019-10-07,1,0003B,50010,0,942
55,7975,1964-08-31,MASCULINO,SOLTERO,83,2019-05-03,2019-07-08,1,0001,55796,0,66
58,8149,1972-07-27,FEMENINO,CASADO,73,2019-10-08,2019-10-15,1,0001,56585,0,7
59,7737,1963-05-04,FEMENINO,SOLTERO,87,2018-08-16,2019-04-18,1,0002A,50290,0,245
60,4008,1982-03-21,FEMENINO,SOLTERO,50,2019-01-14,2019-02-11,1,423,04369,0,28
63,6210,1967-07-18,MASCULINO,SOLTERO,07,2015-03-20,2019-05-06,1,0002A,09800,0,1508
64,6213,1970-02-28,MASCULINO,SOLTERO,83,2018-10-16,2019-04-01,1,0003A,54030,0,167
67,8096,1971-06-16,FEMENINO,SOLTERO,50,2019-08-21,2019-08-26,1,0001,02050,0,5
69,7997,1996-01-19,FEMENINO,SOLTERO,74,2019-05-28,2019-06-11,1,0001,08400,0,14
70,7812,1974-03-04,FEMENINO,CASADO,66,2019-03-21,2019-06-17,1,0001,50220,0,88
73,8114,1997-10-11,FEMENINO,SOLTERO,81,2019-09-06,2019-09-12,1,0001,02630,0,6
75,8070,1995-01-08,FEMENINO,SOLTERO,37,2019-07-30,2019-08-07,1,0001,02750,0,8
76,8097,1983-08-01,FEMENINO,SOLTERO,82,2019-08-22,2019-09-02,1,0001,54110,0,11
77,8065,1994-06-17,FEMENINO,SOLTERO,37,2019-07-25,2019-08-19,1,0001,07249,0,25
78,7430,1986-04-30,FEMENINO,CASADO,85,2017-07-04,2019-05-27,1,0030A,50260,0,692
81,7655,1977-10-22,MASCULINO,SOLTERO,74,2018-04-26,2019-10-01,1,0002A,08000,0,523
82,7919,1984-12-16,MASCULINO,SOLTERO,50,2019-03-14,2019-03-21,1,0125,01130,0,7
83,7858,1958-03-07,FEMENINO,VIUDO,50,2019-01-21,2019-02-04,1,0001,54170,0,14
84,8126,1995-11-09,FEMENINO,SOLTERO,05,2019-09-20,2019-09-30,1,0001,08040,0,10
85,7057,1973-04-30,FEMENINO,SOLTERO,50,2016-08-18,2019-05-10,1,0002A,54140,0,995
87,4746,1973-04-09,FEMENINO,SOLTERO,81,2017-05-23,2019-06-11,1,0017,42995,0,749
88,7934,2000-07-17,MASCULINO,SOLTERO,08,2019-03-28,2019-04-15,1,0001,09700,0,18
90,7407,1986-08-06,FEMENINO,SOLTERO,68,2017-06-20,2019-04-01,1,0002A,08500,0,650
91,7828,1987-03-30,FEMENINO,CASADO,87,2018-12-10,2019-04-04,1,0003B,50295,0,115
92,8093,1973-06-29,FEMENINO,SOLTERO,57,2019-08-16,2019-10-21,1,0001,15020,0,66
93,7964,1979-05-05,FEMENINO,SOLTERO,81,2019-04-22,2019-05-06,1,0001,54196,0,14
94,8010,1984-11-13,MASCULINO,SOLTERO,08,2019-06-07,2019-07-01,1,0001,57809,0,24
96,8075,1984-07-24,FEMENINO,SOLTERO,59,2019-08-01,2019-08-26,1,0001,56315,0,25
97,8045,1992-08-08,FEMENINO,SOLTERO,51,2019-07-04,2019-07-08,1,0001,06350,0,4
98,7839,1988-07-02,FEMENINO,SOLTERO,52,2018-12-22,2019-04-08,1,0175,57740,0,107
99,7922,1977-01-27,FEMENINO,CASADO,85,2019-03-19,2019-04-08,1,0001,52159,0,20
100,8064,2000-07-16,FEMENINO,SOLTERO,59,2019-07-19,2019-07-29,1,0001,56150,0,10
104,7912,1981-10-07,MASCULINO,SOLTERO,50,2019-03-08,2019-04-08,1,0017,54170,0,31
105,8061,1967-08-05,MASCULINO,SOLTERO,52,2019-07-18,2019-09-09,1,0001,09830,0,53
106,7933,1999-04-23,FEMENINO,SOLTERO,74,2019-03-27,2019-04-08,1,0001,56516,0,12
109,7742,1995-11-13,MASCULINO,SOLTERO,81,2018-08-21,2019-05-27,1,0002A,07920,0,279
110,8102,1993-03-15,MASCULINO,SOLTERO,05,2019-08-28,2019-09-30,1,0001,08730,0,33
111,5636,1992-05-03,FEMENINO,SOLTERO,74,2019-03-05,2019-03-18,1,0001,08510,0,13
112,7883,1986-12-03,FEMENINO,CASADO,87,2019-02-11,2019-06-24,1,0003B,50075,0,133
113,8140,1994-02-20,FEMENINO,SOLTERO,51,2019-09-30,2019-10-14,1,0001,54140,0,14
114,8006,2000-03-04,FEMENINO,SOLTERO,88,2019-06-05,2019-06-17,1,0001,53426,0,12
115,7968,1979-08-15,FEMENINO,CASADO,50,2019-04-25,2019-05-02,1,0001,02719,0,7
116,7894,1991-06-04,MASCULINO,SOLTERO,05,2019-02-21,2019-03-28,1,0001,10290,0,35
118,7853,1997-09-19,MASCULINO,SOLTERO,50,2019-01-14,2019-03-11,1,0001,54150,0,56
121,8017,1989-03-04,FEMENINO,SOLTERO,81,2019-06-12,2019-09-11,1,0001,02129,0,91
122,7694,1992-03-04,FEMENINO,SOLTERO,50,2018-06-17,2019-01-04,1,0001,07210,0,201
123,8121,1995-04-24,MASCULINO,SOLTERO,56,2019-09-10,2019-09-16,1,0001,01296,0,6
124,7752,1995-07-08,FEMENINO,SOLTERO,50,2018-09-05,2019-01-03,1,0001,54190,0,120
126,6657,1978-10-15,FEMENINO,SOLTERO,85,2018-11-02,2019-01-30,1,0003B,50290,0,89
128,7915,1965-05-17,FEMENINO,SOLTERO,66,2019-03-11,2019-06-17,1,0001,50010,0,98
